Order ID,Order Date,Segment,State,Region,Category,Sales,Quantity,Discount,Profit
CA-2018-1093,2018-01-08,Corporate,Virginia,East,Furniture,645.35,2,0.5,-225.87
CA-2015-1094,2015-05-06,Corporate,Washington,West,Furniture,1435.01,9,0.3,-272.65
CA-2017-1095,2017-12-15,Home Office,New Jersey,East,Furniture,1443.06,2,0,72.15
CA-2016-1096,2016-11-03,Consumer,Colorado,West,Technology,453.36,8,0,99.74
CA-2017-1097,2017-02-23,Consumer,Massachusetts,East,Office Supplies,1572.45,10,0.7,-597.53
CA-2015-1098,2015-09-12,Home Office,New Jersey,East,Technology,1324.11,10,0.7,-450.2
CA-2018-1099,2018-09-03,Corporate,Florida,South,Furniture,89.06,4,0.5,-31.17
CA-2018-1100,2018-05-21,Consumer,Pennsylvania,East,Office Supplies,957.94,3,0.3,-57.48
CA-2016-1101,2016-08-28,Corporate,New York,East,Technology,288.58,1,0,63.49
CA-2016-1102,2016-01-27,Home Office,Massachusetts,East,Technology,1218.24,3,0,268.01
CA-2017-1103,2017-02-24,Home Office,Nevada,West,Office Supplies,2661.92,7,0.3,-159.72
CA-2017-1104,2017-10-22,Home Office,Oregon,West,Technology,396.54,4,0.1,55.52
CA-2016-1105,2016-12-15,Corporate,New Jersey,East,Technology,544.95,1,0.3,-10.9
CA-2018-1106,2018-02-03,Consumer,Colorado,West,Technology,4843.12,8,0,1065.49
CA-2015-1107,2015-08-20,Home Office,Arizona,West,Furniture,540.6,5,0.2,-59.47
CA-2016-1108,2016-06-15,Corporate,New York,East,Office Supplies,3824.48,8,0,688.41
CA-2017-1109,2017-08-24,Corporate,Tennessee,South,Furniture,3761.73,8,0.2,-413.79
CA-2015-1110,2015-04-07,Corporate,North Carolina,South,Technology,3948.6,6,0,868.69
CA-2016-1111,2016-02-08,Home Office,Ohio,Central,Technology,1950.9,4,0.3,-39.02
CA-2018-1112,2018-12-09,Home Office,Massachusetts,East,Office Supplies,2360.09,9,0.2,47.2
CA-2017-1113,2017-03-28,Consumer,Georgia,South,Office Supplies,2070.2,9,0.1,207.02
CA-2015-1114,2015-10-17,Corporate,Virginia,East,Office Supplies,3527.17,8,0.2,70.54
CA-2017-1115,2017-06-25,Corporate,Illinois,Central,Office Supplies,5096.3,9,0.2,101.93
CA-2016-1116,2016-09-19,Consumer,Virginia,East,Office Supplies,2235.37,9,0.3,-134.12
CA-2018-1117,2018-10-13,Home Office,Texas,Central,Office Supplies,408.36,2,0,73.5
CA-2015-1118,2015-02-07,Corporate,New Jersey,East,Office Supplies,1246.88,4,0,224.44
CA-2018-1119,2018-04-11,Corporate,Arizona,West,Office Supplies,3096.12,6,0,557.3
CA-2018-1120,2018-02-21,Consumer,California,West,Office Supplies,961.06,6,0.7,-365.2
CA-2015-1121,2015-06-08,Home Office,Virginia,East,Furniture,2902.02,6,0,145.1
CA-2016-1122,2016-02-01,Corporate,Florida,South,Furniture,2882.79,9,0.5,-1008.98
CA-2018-1123,2018-06-24,Corporate,Florida,South,Technology,980.02,8,0.7,-333.21
CA-2016-1124,2016-07-04,Corporate,Washington,West,Furniture,2908.81,7,0.2,-319.97
CA-2017-1125,2017-07-26,Consumer,Pennsylvania,East,Office Supplies,3943.84,10,0.2,78.88
CA-2017-1126,2017-06-14,Corporate,New York,East,Furniture,4924.01,7,0,246.2
CA-2017-1127,2017-01-18,Consumer,Wisconsin,Central,Technology,2142.65,10,0.5,-385.68
CA-2016-1128,2016-12-25,Home Office,Ohio,Central,Technology,1369.84,5,0.2,82.19
CA-2017-1129,2017-02-28,Consumer,North Carolina,South,Technology,1879.13,9,0.2,112.75
CA-2015-1130,2015-11-11,Consumer,Pennsylvania,East,Technology,3388.35,10,0.3,-67.77
CA-2017-1131,2017-07-25,Home Office,Tennessee,South,Office Supplies,3135.4,10,0,564.37
CA-2017-1132,2017-07-24,Home Office,North Carolina,South,Technology,3143.8,10,0,691.64
CA-2015-1133,2015-12-10,Corporate,Texas,Central,Office Supplies,2054.52,6,0,369.81
CA-2017-1134,2017-01-07,Consumer,Oregon,West,Technology,1254.79,7,0.2,75.29
CA-2018-1135,2018-02-22,Consumer,Washington,West,Furniture,123.46,3,0.3,-23.46
CA-2015-1136,2015-12-03,Corporate,Washington,West,Technology,1263.35,2,0.1,176.87
CA-2015-1137,2015-05-14,Home Office,Colorado,West,Furniture,102.27,7,0.7,-52.16
CA-2016-1138,2016-10-13,Consumer,Florida,South,Office Supplies,1473.19,7,0.2,29.46
CA-2018-1139,2018-11-21,Consumer,Nevada,West,Technology,1025.46,10,0.7,-348.66
CA-2018-1140,2018-09-20,Corporate,California,West,Furniture,852.5,3,0.2,-93.78
CA-2016-1141,2016-08-13,Corporate,Pennsylvania,East,Furniture,221.05,5,0,11.05
CA-2017-1142,2017-09-08,Corporate,Texas,Central,Furniture,306.3,1,0,15.32
CA-2015-1143,2015-12-08,Corporate,Texas,Central,Furniture,2202.35,5,0,110.12
CA-2015-1144,2015-07-09,Consumer,Illinois,Central,Office Supplies,411.5,3,0.2,8.23
CA-2018-1145,2018-02-21,Corporate,Georgia,South,Technology,1715.98,4,0.3,-34.32
CA-2016-1146,2016-12-09,Home Office,Massachusetts,East,Technology,367.86,9,0.3,-7.36
CA-2016-1147,2016-05-04,Corporate,Washington,West,Office Supplies,1871.7,5,0,336.91
CA-2015-1148,2015-02-10,Consumer,Tennessee,South,Office Supplies,1448.88,6,0,260.8
CA-2015-1149,2015-06-07,Consumer,Colorado,West,Office Supplies,3003.88,4,0,540.7
CA-2017-1150,2017-09-24,Consumer,Michigan,Central,Furniture,3133.52,8,0.5,-1096.73
CA-2018-1151,2018-01-21,Consumer,Massachusetts,East,Technology,1738.05,10,0.7,-590.94
CA-2018-1152,2018-09-28,Corporate,Illinois,Central,Technology,4733.82,9,0.3,-94.68
CA-2018-1153,2018-03-28,Corporate,Nevada,West,Furniture,521.48,1,0,26.07
CA-2015-1154,2015-04-14,Corporate,Florida,South,Technology,3680.64,6,0.2,220.84
CA-2015-1155,2015-01-24,Corporate,Pennsylvania,East,Furniture,6119.76,8,0,305.99
CA-2016-1156,2016-12-20,Corporate,Georgia,South,Technology,5065.97,7,0,1114.51
CA-2018-1157,2018-04-03,Corporate,Virginia,East,Office Supplies,874.1,5,0.5,-192.3
CA-2017-1158,2017-06-23,Corporate,Georgia,South,Office Supplies,1332.03,10,0.7,-506.17
CA-2015-1159,2015-08-06,Home Office,Texas,Central,Furniture,2387.8,4,0,119.39
CA-2015-1160,2015-05-28,Corporate,New Jersey,East,Furniture,806.15,7,0.7,-411.14
CA-2017-1161,2017-12-26,Home Office,Texas,Central,Technology,70.56,1,0.7,-23.99
CA-2015-1162,2015-02-23,Home Office,Alabama,South,Furniture,2103.15,7,0.5,-736.1
CA-2016-1163,2016-06-26,Consumer,Wisconsin,Central,Technology,426.83,1,0,93.9
CA-2017-1164,2017-03-19,Consumer,Michigan,Central,Technology,5452.5,10,0,1199.55
CA-2016-1165,2016-05-26,Corporate,Tennessee,South,Office Supplies,5449.41,9,0,980.89
CA-2018-1166,2018-09-23,Consumer,Georgia,South,Office Supplies,3779.27,7,0.3,-226.76
CA-2017-1167,2017-11-05,Consumer,California,West,Furniture,784.52,1,0,39.23
CA-2018-1168,2018-01-07,Corporate,California,West,Furniture,482.82,1,0,24.14
CA-2015-1169,2015-04-02,Corporate,Pennsylvania,East,Technology,60.31,4,0.7,-20.51
CA-2015-1170,2015-02-10,Corporate,Alabama,South,Office Supplies,719.2,2,0.5,-158.22
CA-2016-1171,2016-09-08,Corporate,New York,East,Office Supplies,47.82,2,0,8.61
CA-2017-1172,2017-03-13,Corporate,California,West,Furniture,90.76,4,0,4.54
CA-2016-1173,2016-10-08,Consumer,Tennessee,South,Furniture,542.58,8,0.3,-103.09
CA-2016-1174,2016-10-28,Consumer,Nevada,West,Furniture,423.68,8,0,21.18
CA-2016-1175,2016-04-20,Consumer,North Carolina,South,Office Supplies,3926.16,8,0,706.71
CA-2018-1176,2018-11-28,Home Office,Washington,West,Technology,1612.8,4,0,354.82
CA-2015-1177,2015-05-16,Consumer,North Carolina,South,Furniture,6318.36,9,0,315.92
CA-2015-1178,2015-07-13,Corporate,North Carolina,South,Furniture,935.05,6,0.3,-177.66
CA-2017-1179,2017-10-15,Consumer,Ohio,Central,Furniture,2749.04,8,0,137.45
CA-2018-1180,2018-11-22,Home Office,Wisconsin,Central,Furniture,255.5,2,0,12.78
CA-2018-1181,2018-03-17,Corporate,Massachusetts,East,Technology,1310.4,4,0.5,-235.87
CA-2017-1182,2017-03-21,Home Office,Arizona,West,Furniture,94.71,3,0,4.74
CA-2018-1183,2018-12-01,Home Office,Oregon,West,Furniture,903.72,3,0.1,-27.11
CA-2018-1184,2018-01-10,Consumer,Ohio,Central,Technology,704.08,1,0,154.9
CA-2016-1185,2016-04-24,Consumer,Ohio,Central,Furniture,562.95,9,0,28.15
CA-2016-1186,2016-11-16,Corporate,Pennsylvania,East,Technology,1684.8,7,0.5,-303.26
CA-2015-1187,2015-12-28,Corporate,Virginia,East,Technology,521.51,1,0,114.73
CA-2018-1188,2018-01-15,Home Office,Florida,South,Technology,195.66,3,0.3,-3.91
CA-2017-1189,2017-04-09,Consumer,Washington,West,Furniture,888.16,4,0.5,-310.86
CA-2015-1190,2015-02-07,Corporate,Massachusetts,East,Furniture,3427.21,7,0.3,-651.17
CA-2015-1191,2015-12-23,Consumer,Texas,Central,Technology,107.99,1,0.7,-36.72
CA-2016-1192,2016-04-21,Home Office,California,West,Office Supplies,1475.3,3,0.2,29.51
CA-2015-1193,2015-02-11,Corporate,Oregon,West,Office Supplies,1378.75,9,0.5,-303.33
CA-2016-1194,2016-03-12,Consumer,Virginia,East,Office Supplies,105.2,2,0,18.94
CA-2015-1195,2015-05-18,Consumer,Massachusetts,East,Furniture,64.35,3,0,3.22
CA-2016-1196,2016-04-17,Consumer,Indiana,Central,Furniture,981.32,4,0,49.07
CA-2016-1197,2016-03-07,Consumer,Oregon,West,Office Supplies,1773.12,3,0,319.16
CA-2015-1198,2015-05-23,Consumer,Tennessee,South,Technology,1718.77,9,0.5,-309.38
CA-2017-1199,2017-11-05,Corporate,Illinois,Central,Furniture,2371.63,5,0.3,-450.61
CA-2016-1200,2016-10-26,Corporate,Virginia,East,Office Supplies,3354.65,5,0,603.84
CA-2017-1201,2017-12-15,Corporate,North Carolina,South,Technology,2680.4,8,0,589.69
CA-2017-1202,2017-01-10,Home Office,Pennsylvania,East,Furniture,2866.3,7,0.3,-544.6
CA-2017-1203,2017-07-09,Corporate,Tennessee,South,Technology,465.25,1,0,102.36
CA-2018-1204,2018-09-28,Consumer,Pennsylvania,East,Technology,3448.62,9,0,758.7
CA-2017-1205,2017-05-10,Consumer,Florida,South,Office Supplies,3051.4,10,0.5,-671.31
CA-2018-1206,2018-09-08,Consumer,Illinois,Central,Office Supplies,891.86,8,0.3,-53.51
CA-2017-1207,2017-02-14,Corporate,Florida,South,Furniture,1137.76,8,0.5,-398.22
CA-2015-1208,2015-11-08,Home Office,Texas,Central,Technology,3668.4,8,0,807.05
CA-2018-1209,2018-10-11,Consumer,Georgia,South,Technology,141.89,1,0.7,-48.24
CA-2018-1210,2018-11-01,Consumer,Florida,South,Furniture,12.07,1,0.7,-6.16
CA-2015-1211,2015-02-21,Home Office,Pennsylvania,East,Furniture,619.08,3,0.7,-315.73
CA-2016-1212,2016-01-23,Home Office,New Jersey,East,Office Supplies,395.61,5,0.7,-150.33
CA-2018-1213,2018-05-14,Corporate,Massachusetts,East,Office Supplies,82.68,4,0.7,-31.42
CA-2018-1214,2018-08-20,Consumer,Illinois,Central,Office Supplies,129.78,4,0.7,-49.32
CA-2017-1215,2017-05-15,Corporate,California,West,Furniture,3622.32,6,0.1,-108.67
CA-2015-1216,2015-04-07,Corporate,Georgia,South,Technology,4153.62,6,0,913.8
CA-2016-1217,2016-03-15,Consumer,Colorado,West,Furniture,1996.01,7,0.5,-698.6
CA-2018-1218,2018-02-12,Home Office,Pennsylvania,East,Furniture,246.51,2,0.2,-27.12
CA-2015-1219,2015-08-10,Home Office,Washington,West,Technology,3117.3,10,0,685.81
CA-2018-1220,2018-02-16,Corporate,Michigan,Central,Furniture,3339.72,8,0.1,-100.19
CA-2018-1221,2018-12-09,Consumer,North Carolina,South,Technology,824.1,6,0,181.3
CA-2018-1222,2018-01-27,Consumer,California,West,Office Supplies,1249.4,5,0.2,24.99
CA-2015-1223,2015-08-21,Corporate,Alabama,South,Technology,1383.5,5,0,304.37
CA-2015-1224,2015-04-26,Consumer,Michigan,Central,Office Supplies,1001.25,9,0,180.22
CA-2016-1225,2016-08-17,Corporate,Nevada,West,Furniture,221.12,1,0,11.06
CA-2015-1226,2015-01-04,Home Office,Oregon,West,Technology,3483.3,10,0,766.33
CA-2017-1227,2017-02-12,Home Office,Michigan,Central,Technology,1303.5,5,0,286.77
CA-2015-1228,2015-01-22,Home Office,Wisconsin,Central,Office Supplies,2008.96,4,0,361.61
CA-2015-1229,2015-09-21,Corporate,Indiana,Central,Furniture,685.83,1,0,34.29
CA-2017-1230,2017-03-08,Corporate,Arizona,West,Technology,2783.2,10,0,612.3
CA-2015-1231,2015-07-17,Consumer,Virginia,East,Office Supplies,4275.74,10,0.3,-256.54
CA-2017-1232,2017-10-09,Consumer,Michigan,Central,Office Supplies,2053.76,8,0,369.68
CA-2018-1233,2018-12-26,Home Office,Nevada,West,Technology,1281.0,6,0.3,-25.62
CA-2015-1234,2015-09-26,Consumer,Indiana,Central,Furniture,680.12,5,0.5,-238.04
CA-2017-1235,2017-08-26,Corporate,New York,East,Office Supplies,1788.32,6,0.1,178.83
CA-2015-1236,2015-11-10,Corporate,Arizona,West,Office Supplies,357.43,5,0.5,-78.63
CA-2017-1237,2017-04-23,Consumer,New York,East,Technology,3979.2,8,0,875.42
CA-2018-1238,2018-11-19,Corporate,Tennessee,South,Furniture,2634.77,8,0.1,-79.04
CA-2015-1239,2015-04-21,Corporate,Colorado,West,Furniture,196.35,5,0.5,-68.72
CA-2016-1240,2016-02-09,Consumer,Ohio,Central,Technology,2574.9,10,0.5,-463.48
CA-2015-1241,2015-12-15,Corporate,Wisconsin,Central,Furniture,5533.36,7,0,276.67
CA-2017-1242,2017-12-13,Corporate,Alabama,South,Office Supplies,1473.48,2,0,265.23
CA-2016-1243,2016-09-27,Consumer,Illinois,Central,Office Supplies,2384.73,3,0,429.25
CA-2016-1244,2016-11-12,Consumer,Wisconsin,Central,Office Supplies,3966.42,6,0,713.96
CA-2018-1245,2018-09-17,Home Office,Tennessee,South,Technology,187.92,9,0.7,-63.89
CA-2018-1246,2018-10-15,Home Office,Indiana,Central,Office Supplies,7703.6,10,0,1386.65
CA-2017-1247,2017-06-25,Corporate,Ohio,Central,Technology,2045.04,6,0,449.91
CA-2017-1248,2017-04-03,Home Office,Virginia,East,Office Supplies,158.14,8,0.7,-60.09
CA-2018-1249,2018-05-17,Corporate,Massachusetts,East,Office Supplies,1013.01,9,0.7,-384.94
CA-2015-1250,2015-02-19,Home Office,North Carolina,South,Furniture,660.21,1,0,33.01
CA-2018-1251,2018-06-02,Consumer,Georgia,South,Furniture,438.27,10,0.3,-83.27
CA-2017-1252,2017-06-16,Corporate,Nevada,West,Office Supplies,2325.18,8,0.3,-139.51
CA-2016-1253,2016-12-24,Consumer,California,West,Technology,3319.96,7,0,730.39
CA-2017-1254,2017-02-24,Consumer,Virginia,East,Technology,1222.91,2,0.2,73.37
CA-2018-1255,2018-11-17,Corporate,New York,East,Office Supplies,491.35,2,0.1,49.13
CA-2018-1256,2018-02-10,Corporate,Virginia,East,Office Supplies,3982.4,8,0.2,79.65
CA-2017-1257,2017-03-25,Consumer,Pennsylvania,East,Office Supplies,238.32,2,0.2,4.77
CA-2017-1258,2017-05-28,Corporate,Florida,South,Technology,186.49,4,0.7,-63.41
CA-2016-1259,2016-09-06,Consumer,Texas,Central,Furniture,5022.8,10,0.2,-552.51
CA-2016-1260,2016-09-04,Consumer,Massachusetts,East,Office Supplies,694.2,4,0,124.96
CA-2017-1261,2017-02-26,Home Office,Indiana,Central,Technology,3081.5,6,0.2,184.89
CA-2017-1262,2017-12-05,Corporate,Georgia,South,Office Supplies,625.6,8,0,112.61
CA-2015-1263,2015-11-22,Home Office,Illinois,Central,Furniture,2153.97,7,0,107.7
CA-2016-1264,2016-06-24,Consumer,Tennessee,South,Technology,5508.37,10,0.3,-110.17
CA-2016-1265,2016-09-27,Consumer,Nevada,West,Technology,80.95,2,0.3,-1.62
CA-2017-1266,2017-02-27,Home Office,Indiana,Central,Office Supplies,1242.57,5,0.3,-74.55
CA-2018-1267,2018-06-28,Consumer,New York,East,Technology,298.74,1,0.2,17.92
CA-2016-1268,2016-01-25,Corporate,Illinois,Central,Office Supplies,432.74,3,0.2,8.65
CA-2016-1269,2016-04-08,Corporate,Massachusetts,East,Furniture,2491.55,5,0,124.58
CA-2018-1270,2018-02-20,Consumer,Texas,Central,Technology,4074.78,6,0,896.45
CA-2017-1271,2017-09-27,Corporate,Massachusetts,East,Furniture,848.57,6,0.3,-161.23
CA-2015-1272,2015-10-19,Corporate,Ohio,Central,Furniture,911.15,5,0.3,-173.12
CA-2015-1273,2015-08-02,Home Office,Wisconsin,Central,Office Supplies,2375.72,4,0,427.63
CA-2016-1274,2016-01-21,Home Office,Virginia,East,Technology,307.9,2,0.7,-104.69
CA-2018-1275,2018-09-25,Corporate,Georgia,South,Furniture,2049.23,7,0.3,-389.35
CA-2018-1276,2018-07-04,Corporate,Colorado,West,Office Supplies,1407.8,2,0.1,140.78
CA-2017-1277,2017-08-11,Consumer,Indiana,Central,Furniture,5860.44,9,0,293.02
CA-2015-1278,2015-09-13,Corporate,New York,East,Technology,1359.28,8,0,299.04
CA-2017-1279,2017-03-16,Corporate,Georgia,South,Furniture,836.21,3,0.2,-91.98
CA-2015-1280,2015-05-23,Corporate,New Jersey,East,Office Supplies,228.05,1,0,41.05
CA-2016-1281,2016-06-04,Corporate,Washington,West,Technology,626.5,7,0,137.83
CA-2017-1282,2017-11-26,Consumer,Virginia,East,Office Supplies,715.86,6,0.7,-272.03
CA-2017-1283,2017-09-25,Consumer,North Carolina,South,Furniture,4931.73,9,0,246.59
CA-2018-1284,2018-08-02,Home Office,Pennsylvania,East,Technology,1435.38,3,0,315.78
CA-2018-1285,2018-01-04,Consumer,California,West,Technology,2298.16,8,0,505.6
CA-2018-1286,2018-09-08,Corporate,Tennessee,South,Office Supplies,1089.06,5,0.7,-413.84
CA-2018-1287,2018-12-02,Home Office,Alabama,South,Office Supplies,230.19,2,0.7,-87.47
CA-2018-1288,2018-01-06,Consumer,Illinois,Central,Furniture,927.01,7,0.5,-324.45
CA-2015-1289,2015-06-10,Corporate,Massachusetts,East,Office Supplies,2405.48,5,0.2,48.11
